"data","zrodlo","tytul","tresc","link"
"2026-05-19","Bankier","DM BOŚ podniósł wycenę akcji Orlenu do 175 zł, nadal zaleca ich kupno","Analitycy Domu Maklerskiego BOŚ w raporcie z 12 maja podnieśli cenę docelową akcji Orlenu w horyzoncie 12 miesięcy do 175 zł z 144 zł wcześniej, podtrzymując rekomendację ""kupuj"". W dniu wydania raportu kurs akcji Orlenu wynosił 143,86 zł. ""Po podwyższeniu krótko- i długoterminowych prognoz dla Spółki nadal uważamy Orlen za jedną z najbardziej atrakcyjnych wśród tych, które pokrywamy ('kupuj' + 'przeważaj', 12M EV = 175,0 zł na akcję). Rozumiemy, dlaczego niektórzy inwestorzy w scenariuszu zakładającym eskalację wojny w Iranie dostrzegają pozytywne elementy dla Orlenu"" - napisano w raporcie. ""Można powiedzieć, że przyszłe warunki makroekonomiczne i generowana EBITDA mogłaby się okazać lepsza przy założeniu, że ten konflikt się przedłuża. Jednak nie zgadzamy się z pomysłami inwestycyjnymi, które sugerują, że akcje Spółki powinny być niedoważane, jeśli wojna w Iranie się zakończy. W przypadku Orlenu scenariusz de-eskalacji ma także swoje dobre strony. Racjonalne jest oczekiwanie, że im szybciej dojdzie do de-eskalacji, tym niższe ryzyko podatku od nadmiernych zysków i niższe oczekiwane koszty importu surowca od Saudi Aramco""- dodano. Analitycy zwrócili również uwagę na ostatnią nieoczekiwaną poprawę w segmencie petrochemicznym, co ich zdaniem powoduje, że walory Orlenu są dodatkowo atrakcyjne. ""Marże petrochemiczne poszybowały na poziom dotąd niespotykany i przekroczyły nawet wartości raportowane w najlepszych latach 2015-17. Jest to dla nas pozytywne zaskoczenie: 2 miesiące temu, kiedy wybuchła wojna w Iranie, obniżyliśmy nasze prognozy dla działalności petrochemicznej dostrzegając, że rosnące ceny ropy mogą jeszcze bardziej pogorszyć sytuację. Powinniśmy dodać, że pesymistyczne założenia dla branży petrochemicznej były szerokim konsensusem jeszcze niedawno"" - napisano. Depesza jest skrótem raportu DM BOŚ. Jego autorem jest Łukasz Prokopiuk. Pierwsze rozpowszechnienie rekomendacji nastąpiło 12 maja, o godzinie 7:35. W załączniku znajduje się plik z wymaganymi zastrzeżeniami prawnymi. (PAP Biznes) mcb/ gor/","https://www.bankier.pl/wiadomosc/DM-BOS-podniosl-wycene-akcji-Orlenu-do-175-zl-nadal-zaleca-ich-kupno-9135403.html"
"2026-05-19","Bankier","Orlen kończy gigantyczną inwestycję. Największa taka farma w tej części Europy już działa","Grupa Orlen zakończyła rozbudowę farmy fotowoltaicznej w Kleczewie. Największa instalacja PV w portfolio koncernu i jednocześnie jeden z największych tego rodzaju obiektów w Europie Środkowo-Wschodniej osiągnął 250 MW mocy - podał koncern w komunikacie prasowym. Jak podano, w ciągu roku farma wyprodukuje energię wystarczającą do zasilenia nawet 100 tys. gospodarstw domowych. Instalacja posiada koncesję Urzędu Regulacji Energetyki (URE) na wytwarzanie energii elektrycznej. Inwestycja Kleczew Solar & Wind, zarządzana przez spółkę Energa Wytwarzanie, powstała na zrekultywowanych terenach pokopalnianych po odkrywkach węgla brunatnego w Wielkopolsce. Obejmuje 250 MW fotowoltaiki oraz 19,2 MW mocy wiatrowej. ""Połączenie energii ze słońca i wiatru pozwala lepiej wykorzystać infrastrukturę i zwiększa stabilność produkcji energii w zmieniających się warunkach pogodowych. Instalacja została przystosowana do dalszej rozbudowy – warunki przyłączeniowe umożliwiają zwiększenie jej mocy do ok. 334 MW"" - napisano w komunikacie. Grupa Orlen rozwija portfel OZE zgodnie ze strategią zakładającą przekroczenie 12 GW mocy zainstalowanej do 2035 roku. Obejmuje ona projekty wiatrowe, fotowoltaiczne, a także biogazowe i biometanowe. (PAP Biznes) tom/ gor/","https://www.bankier.pl/wiadomosc/Grupa-Orlen-zakonczyla-rozbudowe-farmy-PV-Kleczew-ktora-osiagnela-250-MW-mocy-9135430.html"
"2026-05-19","Bankier","Wielki plan Orlenu w Norwegii. Polska powalczy o nowe złoża, padły konkretne daty","Polska chce pozyskiwać surowce z norweskiego szelfu także w kolejnych latach, traktując to jako element bezpieczeństwa energetycznego kraju — powiedział PAP minister energii Miłosz Motyka podczas wizyty w Norwegii. – Jesteśmy zainteresowani pozyskiwaniem surowców z szelfu norweskiego także w kolejnych latach. To element bezpieczeństwa energetycznego Polski. Orlen ma największe kompetencje w zakresie działalności wydobywczej. Będziemy też zachęcać do współpracy z Norwegią inne spółki energetyczne – powiedział Motyka. Należąca do Orlenu spółka Orlen Upstream Norway prowadzi wydobycie z 21 złóż na Norweskim Szelfie Kontynentalnym, posiada około 100 koncesji wydobywczych i poszukiwawczych węglowodorów. Na początku maja norweski rząd ogłosił coroczną rundę koncesyjną TFO 2026, czyli konkurs na poszukiwanie i wydobycie ropy i gazu w rozpoznanych wcześniej obszarach szelfu. Pozwolenia obejmą 70 nowych bloków na Morzu Północnym, Morzu Norweskim i Morzu Barentsa. Termin składania wniosków mija 1 września, a przyznanie licencji planowane jest w pierwszym kwartale 2027 r. W poprzedniej rundzie Orlen Upstream Norway otrzymał udziały w sześciu nowych licencjach poszukiwawczo-wydobywczych. Tegoroczny konkurs należy do większych w ostatnich latach. W dokumentach branżowych takie obszary określane są jako bloki lub części bloków. W 2025 r. do TFO dodano 76 takich obszarów, w 2024 r. – 37, w 2023 r. – 92, a w 2022 r. – 28. Utrzymanie wysokiej liczby nowych obszarów rząd uzasadnił koniecznością zapewnienia produkcji, miejsc pracy, dochodów państwa oraz bezpieczeństwa energetycznego Europy. Norweski minister energii Terje Aasland podkreślił znaczenie obecności Orlenu na norweskim szelfie. - Ta obecność mogłaby zostać jeszcze wzmocniona – powiedział Aasland. Od 2022 roku norweski gaz jest dostarczany z Norwegii rurociągiem Baltic Pipe. Importowane 8 mld m sześc. gazu rocznie pokrywa około 40 proc. obecnego zużycia w Polsce. Resort energii podkreśla, że Norwegia pozostaje jednym z najważniejszych partnerów energetycznych Polski. W 2025 r. dostawy ropy naftowej z Norwegii osiągnęły 8,3 mln ton, co odpowiadało za około 33 proc. całego importu ropy do Polski, import norweskiego LNG wyniósł ponad 3 mln ton (13 proc. całości dostaw). Z Oslo Mieszko Czarnecki (PAP) cmm/ aop/","https://www.bankier.pl/wiadomosc/Wielki-plan-Orlenu-w-Norwegii-Polska-powalczy-o-nowe-zloza-padly-konkretne-daty-9135550.html"
"2026-05-19","Bankier","Polityczne billboardy za 4,7 mln zł z Fundacji Orlen. Jest akt oskarżenia dla b. prezes","Prokuratura Regionalna w Warszawie skierowała we wtorek do warszawskiego Sądu Okręgowego akt oskarżenia przeciwko byłej prezes Fundacji Orlen Katarzynie R. - poinformował rzecznik tej prokuratury. Dodał, że w wyniku nadużycia uprawnień przez R. Fundacja poniosła szkodę w kwocie blisko 4,7 mln zł. Rzecznik warszawskiej prokuratury regionalnej prok. Mateusz Martyniuk poinformował we wtorkowym komunikacie, że Katarzyna R. została oskarżona o nadużycie uprawnień podczas pełnienia funkcji prezes Fundacji Orlen. Jak wskazał, w okresie od listopada do grudnia 2023 r. R. „ zatwierdziła sprawozdanie dotyczące sposobu wykorzystania darowizny w wysokości blisko 4,7 mln z ł”, która została przekazana Fundacji Rozwoju Gospodarki i Innowacji im. Eugeniusza Kwiatkowskiego na realizację projektu „Akademia Aktywności Obywatelskiej”. Fundacja ta - według ustaleń prokuratury - wykorzystała przekazane jej środki w sposób niezgodny z celami statutowymi Fundacji Orlen. Jak wskazano, sfinansowana została z nich kampania medialna o charakterze politycznym - zarówno w prasie ogólnopolskiej, jak i w reklamie outdoorowej, obejmującej bilboardy. Kampania zachęcała do głosowania »4 x NIE« w referendum z 15 października 2023 roku oraz przedstawiała polityków partii opozycyjnej w negatywnym świetle - podkreślono. Jak wskazano, w wyniku działania oskarżonej Fundacja Orlen poniosła szkodę majątkową w kwocie blisko 4,7 mln zł. O postawieniu kobiecie zarzutów w związku z tą sprawą warszawska prokuratura regionalna informowała na początku marca br. Prok. Martyniuk przypomniał, że wyrządzenie szkody w obrocie gospodarczym jest zagrożone karą do 10 lat pozbawienia wolności. Przypomniał także, że była prezes Fundacji Orlen nie przyznała się do popełnienia zarzucanego jej czynu i odmówiła składania wyjaśnień. „Prokurator zabezpieczył mienie podejrzanej w postaci trzech nieruchomości lokalowych i jednej nieruchomości gruntowej poprzez obciążenie ich hipoteką przymusową w wysokości ponad 3 milionów zł” - dodał rzecznik warszawskiej prokuratury regionalnej. Według informacji podawanych na początku marca br. przez „Gazetę Wyborczą”, wartość zabezpieczonych nieruchomości jest niższa niż szkoda wyrządzona fundacji. Jak dodała wówczas „GW”, zawiadomienie o przestępstwie w tej sprawie złożyły nowe władze Orlenu, gdy ich zdaniem z pieniędzy przeznaczonych na cele charytatywne i edukacyjne opłacono polityczną kampanię, którą w 2023 r. Prawo i Sprawiedliwość próbowało poprawić swój wynik wyborczy. 15 października 2023 r., w dniu wyborów parlamentarnych, zorganizowane zostało ogólnokrajowe referendum, w którym padły cztery pytania: o wyprzedaż majątku państwowego, podniesienie wieku emerytalnego, likwidację bariery na granicy z Białorusią oraz relokację migrantów. Ówczesny premier Mateusz Morawiecki uzasadniał wówczas m.in., że przeprowadzenie referendum w dniu wyborów parlamentarnych pozwala zmniejszyć koszty jego organizacji. PiS apelował wówczas do swoich wyborców o udzielenie odpowiedzi „nie” na wszystkie zadane w referendum pytania. Natomiast ówczesna opozycja zwracała się do wyborców, by głosowali na parlamentarzystów, ale odmawiali wzięcia udziału w referendum. Frekwencja w plebiscycie wyniosła 40,91 proc., w związku z czym jego wyniki nie były wiążące. Wynik referendum jest wiążący wtedy, gdy weźmie w nim udział więcej niż połowa uprawnionych do głosowania. (PAP) ef/ mark/","https://www.bankier.pl/wiadomosc/Polityczne-billboardy-za-4-7-mln-zl-z-Fundacji-Orlen-Jest-akt-oskarzenia-dla-b-prezes-9135654.html"
"2026-05-19","Bankier","Trans Polonia dywersyfikuje portfolio i pracuje nad akwizycjami, chce wrócić do wypłaty dywidendy","Trans Polonia widzi szanse rozwoju organicznego w transporcie intermodalnym i dąży do dywersyfikacji swojego portfolio, w którym zyskuje m.in. nowy segment - szkło. Zarząd pracuje nad akwizycjami i chce, by spółka wróciła do regularnej wypłaty dywidendy - poinformowali przedstawiciele spółki. ""Największe szanse wzrostu organicznego widzimy w części związanej z chemią i transportem intermodalnym. (...) Możliwość rozwoju floty kontenerów dla grupy jest najprostszym sposobem rozbudowy floty"" - powiedział prezes Dariusz Cegielski podczas spotkania z inwestorami. Ocenił, że rozbudowa floty drogowej wiąże się z kwestią wzrostu zatrudnienia i procesami rekrutacyjnymi, co jest dużym obciążeniem. Z kolei rozbudowa floty kontenerowej nie ma czynnika ludzkiego i zależy od sprawności handlowej i organizacyjnej. ""Mamy obecnie 560 kontenerów, ale zwiększenie o kolejne 500 czy tysiąc nie jest problemem"" - dodał. Trans Polonia dąży do dywersyfikacji swojego portfolio, w którym dominującą pozycję ma obecnie segment chemii. W czwartym kwartale 2024 r. dominujący udział w przychodach grupy miała chemia (73 proc.). Również w czwartym kwartale 2025 r. nadal dominującym segmentem była chemia (55 proc.), ale nowy segment – szkło – stanowił 20 proc., a paliwa 18 proc. Trans Polonia poinformowała, że w latach 2027-2032 będzie realizować kontrakt na obsługę Orlenu w zakresie zaopatrzenia stacji paliw w LPG, więc od 2027 r. wzrośnie udział segmentu paliw i dywersyfikacja przychodów będzie większa, a - w ocenie zarządu - grupa będzie oparta na trzech stabilnych nogach. Zarząd pracuje nad akwizycjami - obecnie analizuje ponad 10 potencjalnych celów akwizycyjnych i oczekuje w ciągu najbliższych 12 miesięcy co najmniej jednego większego przejęcia lub dwóch mniejszych. ""W negocjacjach skupiamy się na przejmowaniu podmiotów dobrze zabezpieczonych infrastrukturalnie, odrzucamy propozycje, gdy jest to tylko biznes operacyjny. Przykładem jest np. przejęcie Nijman/Zeetank"" - powiedział prezes. Mimo planów akwizycyjnych, zarząd zakłada powrót do regularnego dzielenia się zyskiem z akcjonariuszami. ""Dywidenda była wypłacana przez osiem ostatnich lat, wyjątkowo nie była wypłacona w zeszłym roku, bo pracowaliśmy nad przejęciem Nijman/Zeetank – decyzja kredytowa zbiegałaby się z decyzją o wypłacie dywidendy i uznaliśmy, że mogłoby to być ryzyko. Jak się później okazało, była to nadostrożność i można było zdecydować o wypłacie dywidendy"" - powiedział Cegielski. ""Traktujemy to jako incydent i na pewno polityka dywidendowa będzie profesjonalizowana i będziemy dywidendę wypłacać, by sposób jej wypłacania w następnych latach był bardziej przejrzysty dla inwestorów"" - dodał. (PAP Biznes) doa/ osz/","https://www.bankier.pl/wiadomosc/Trans-Polonia-dywersyfikuje-portfolio-i-pracuje-nad-akwizycjami-chce-wrocic-do-wyplaty-dywidendy-9135836.html"
"2026-05-19","Bankier","Rząd uderzy w zyski koncernów paliwowych. Nowy podatek ma objąć m.in. Orlen","Rząd chce do końca czerwca przyjąć projekt ustawy o podatku od nadzwyczajnych zysków z tytułu wytwarzania niektórych paliw ciekłych i ich obrotu osiągniętych w 2026 r. - wynika w wykazu prac legislacyjnych rządu. Wpływy z tego podatku mają sfinansować działania osłonowe na rynku paliw. „Nowa danina umożliwia redystrybucję części ponadnormatywnych zysków przedsiębiorstw sektora naftowego - które w normalnych warunkach rynkowych nie zostałyby osiągnięte – poprzez wykorzystanie ich m.in. do sfinansowania działań osłonowyc h, obciążających aktualnie budżet państwa” - wskazano we wpisie zamieszczonym we wtorek w wykazie prac legislacyjnych i programowych Rady Ministrów. Chodzi o obowiązujący od końca marca pakiet przepisów „Ceny Paliwa Niżej"" (CPN), na który składa się obniżenie stawki podatku VAT oraz akcyzy na benzynę i olej napędowy, a także ogłaszane codziennie maksymalne ceny detaliczne paliw. „Wprowadzone instrumenty, choć gospodarczo konieczne i społecznie uzasadnione, wiążą się ze znaczącym obciążeniem dla budżetu państwa” - wyjaśniono. Organem odpowiedzialnym za opracowanie projektu jest Ministerstwo Finansów. Planowany termin przyjęcia projektu przez radę ministrów to drugi kwartał 2026 r. Zgodnie z założeniami podatek ma objąć przedsiębiorców, którzy produkują niektóre paliwa ciekłe lub sprowadzają je zza granicy w okresie od 1 marca 2026 r. do 31 grudnia 2026 r. Podstawę opodatkowania ma stanowić nadwyżka osiągniętych przez podatnika przychodów ze sprzedaży paliw ciekłych ponad kwotę przychodów z tego tytułu, jaka zostałaby osiągnięta przez tego podatnika przy zastosowaniu jego średniej marży sprzedaży paliw ciekłych z roku 2025 powiększonej o 20 proc. Tak ustalona wartość będzie stanowić tzw. marżę referencyjną. Proponowana konstrukcja gwarantuje, że wprowadzenie nowej daniny dokona się bez uszczerbku dla zwykłej rentowności przedsiębiorcy ani nie obciąży zysków wynikających z standardowego rozwoju działalności - podano. Według resortu finansów stawka podatku wynosząca 75 proc. podstawy opodatkowania proporcjonalnie odzwierciedla skalę nieoczekiwanych korzyści, przy jednoczesnym pozostawieniu podatnikowi możliwości dysponowania pozostałą częścią nadzwyczajnego zysku. „ System poboru daniny zostanie oparty na mechanizmie samoobliczenia , obejmującym miesięczne zaliczki oraz roczne rozliczenie za sprawą dedykowanej temu deklaracji podatkowej, co zapewnia bieżące zasilanie budżetu bez generowania nadmiernych obciążeń administracyjnych po stronie podatnika, jak i organów podatkowych” - podano także. Resort finansów w sprawozdaniu z wdrażania średniookresowego planu budżetowo-strukturalnego na lata 2025-2028 wskazał, że podatek od nadmiarowych zysków ma zniwelować ubytek dochodów budżetowych wynikający z wdrożenia pakietu „Ceny Paliwa Niżej”. Pod koniec kwietnia minister Andrzej Domański informował, że wpływy z podatku od nadmiarowych zysków powinny przekroczyć 4 mld zł, a jedną z firm, która może zostać objęta takim podatkiem, jest Orlen. Wcześniej, bo pod koniec marca premier Donald Tusk zapowiedział, że rząd wprowadzi podatek od nadmiarowych zysków koncernów paliwowych. (PAP) kawa/ mmu/","https://www.bankier.pl/wiadomosc/Rzad-uderzy-w-zyski-koncernow-paliwowych-Nowy-podatek-ma-objac-m-in-Orlen-9135764.html"
